CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
10734693,0,19.0,Mobile Phone,Elijahbury,17.0,Debit Card,Male,3.0,4,Laptop & Accessory,2,Divorced,5,0,22.0,2.0,12.0,9.0,166
3546599,0,3.0,Phone,West Bryan,,Credit Card,Male,2.0,5,Others,5,Married,2,1,13.0,0.0,2.0,6.0,219
8335027,0,1.0,Computer,Michaelburgh,10.0,Credit Card,Male,2.0,4,Laptop & Accessory,5,Divorced,2,0,16.0,3.0,4.0,3.0,107
6028771,1,0.0,Phone,Benjaminstad,16.0,Debit Card,Male,2.0,5,Fashion,5,Divorced,4,0,12.0,,2.0,1.0,163
5844949,0,0.0,Phone,Barnesport,7.0,Credit Card,Female,2.0,2,Mobile,4,Single,5,0,18.0,10.0,2.0,1.0,118
8828426,0,7.0,Phone,West Rachel,32.0,Debit Card,Female,3.0,1,Others,2,Single,3,0,16.0,0.0,3.0,4.0,160
4650151,1,0.0,Phone,Port Deborah,12.0,E wallet,Female,3.0,4,Laptop & Accessory,5,Married,7,1,16.0,0.0,4.0,1.0,300
9727611,0,2.0,Computer,Bookerbury,33.0,Debit Card,Female,3.0,3,Laptop & Accessory,4,Married,4,0,18.0,9.0,5.0,15.0,140
2179414,0,10.0,Mobile Phone,Huffmanberg,14.0,UPI,Female,2.0,3,Laptop & Accessory,3,Married,2,0,20.0,0.0,2.0,11.0,119
3358217,0,2.0,Computer,Harrisbury,31.0,Debit Card,Female,2.0,5,Laptop & Accessory,3,Divorced,7,0,12.0,0.0,4.0,3.0,140
3139501,0,18.0,Mobile Phone,New David,7.0,Credit Card,Female,2.0,3,Grocery,3,Married,5,0,,2.0,15.0,8.0,237
11872386,0,0.0,Computer,New Michael,18.0,Debit Card,Female,,4,Laptop & Accessory,5,Divorced,2,0,12.0,0.0,2.0,2.0,113
16312324,0,1.0,Mobile Phone,New Charles,7.0,Credit Card,Male,3.0,4,Mobile Phone,4,Divorced,2,0,13.0,0.0,2.0,6.0,233
13573606,1,0.0,Computer,Michaelville,13.0,COD,Male,,3,Laptop & Accessory,3,Married,2,0,13.0,1.0,15.0,,88
